x,y
19.2669,1.30636
19.2472,1.30286
19.2275,1.29929
19.2078,1.29565
19.1882,1.29194
19.1685,1.28815
19.1489,1.2843
19.1293,1.28037
19.1097,1.27638
19.0901,1.27231
19.0706,1.26817
19.051,1.26396
19.0315,1.25967
19.0119,1.25532
18.9924,1.2509
18.973,1.2464
18.9535,1.24183
18.934,1.2372
18.9146,1.23249
18.8952,1.22771
18.8758,1.22286
18.8564,1.21795
18.837,1.21296
18.8177,1.2079
18.7983,1.20277
18.779,1.19756
18.7597,1.19229
18.7405,1.18695
18.7212,1.18154
18.702,1.17606
18.6828,1.17051
18.6636,1.16489
18.6444,1.1592
18.6252,1.15344
18.6061,1.14761
18.587,1.14171
18.5679,1.13574
18.5488,1.1297
18.5298,1.1236
18.5108,1.11742
18.4918,1.11117
18.4728,1.10486
18.4538,1.09848
18.4349,1.09202
18.416,1.0855
18.3971,1.07891
18.3783,1.07225
18.3594,1.06553
18.3406,1.05873
18.3218,1.05187
18.3031,1.04493
18.2843,1.03793
18.2656,1.03086
18.2469,1.02373
18.2283,1.01652
18.2097,1.00925
18.191,1.00191
18.1725,0.994503
18.1539,0.987028
18.1354,0.979486
18.1169,0.971876
18.0984,0.964199
18.08,0.956455
18.0616,0.948644
18.0432,0.940766
18.0248,0.932821
18.0065,0.924809
17.9882,0.916731
17.97,0.908587
17.9517,0.900376
17.9335,0.892099
17.9153,0.883755
17.8972,0.875346
17.8791,0.866871
17.861,0.85833
17.8429,0.849723
17.8249,0.84105
17.8069,0.832313
17.789,0.823509
17.771,0.814641
17.7531,0.805707
17.7353,0.796709
17.7175,0.787645
17.6997,0.778517
17.6819,0.769324
17.6642,0.760066
17.6465,0.750745
17.6288,0.741358
17.6112,0.731908
17.5936,0.722394
17.576,0.712815
17.5585,0.703173
17.541,0.693468
17.5236,0.683699
17.5062,0.673866
17.4888,0.66397
17.4714,0.654011
17.4541,0.643989
17.4369,0.633904
17.4196,0.623757
17.4024,0.613546
17.3853,0.603274
17.3681,0.592939
17.3511,0.582541
17.334,0.572082
17.317,0.561561
17.3,0.550978
17.2831,0.540333
17.2662,0.529627
17.2494,0.51886
17.2325,0.508031
17.2158,0.497141
17.199,0.486191
17.1823,0.475179
17.1657,0.464107
17.1491,0.452974
17.1325,0.441781
17.116,0.430528
17.0995,0.419215
17.083,0.407842
17.0666,0.396409
17.0502,0.384917
17.0339,0.373365
17.0176,0.361753
17.0014,0.350083
16.9852,0.338354
16.969,0.326566
16.9529,0.314719
16.9368,0.302814
16.9208,0.29085
16.9048,0.278828
16.8889,0.266748
16.873,0.25461
16.8571,0.242415
16.8413,0.230162
16.8256,0.217851
16.8099,0.205483
16.7942,0.193059
16.7786,0.180577
16.763,0.168038
16.7474,0.155443
16.7319,0.142792
16.7165,0.130084
16.7011,0.11732
16.6858,0.104501
16.6704,0.0916253
16.6552,0.0786944
16.64,0.065708
16.6248,0.0526664
16.6097,0.0395697
16.5946,0.0264182
16.5796,0.013212
16.5646,-4.87857e-05
16.5497,-0.0133639
16.5348,-0.0267332
16.52,-0.0401565
16.5052,-0.0536336
16.4905,-0.0671644
16.4758,-0.0807486
16.4612,-0.0943861
16.4466,-0.108077
16.4321,-0.12182
16.4176,-0.135617
16.4032,-0.149466
16.3888,-0.163367
16.3745,-0.17732
16.3602,-0.191326
16.346,-0.205383
16.3318,-0.219492
16.3177,-0.233652
16.3036,-0.247864
16.2896,-0.262127
16.2756,-0.27644
16.2617,-0.290804
16.2478,-0.305219
16.234,-0.319684
16.2203,-0.3342
16.2066,-0.348765
16.1929,-0.36338
16.1793,-0.378044
16.1658,-0.392758
16.1523,-0.407521
16.1388,-0.422333
16.1254,-0.437194
16.1121,-0.452103
16.0988,-0.467061
16.0856,-0.482067
16.0724,-0.497121
16.0593,-0.512222
16.0463,-0.527371
16.0333,-0.542568
16.0203,-0.557812
16.0074,-0.573103
15.9946,-0.58844
15.9818,-0.603824
15.9691,-0.619255
15.9564,-0.634731
15.9438,-0.650254
15.9313,-0.665822
15.9188,-0.681436
15.9063,-0.697096
15.8939,-0.7128
15.8816,-0.728549
15.8693,-0.744343
15.8571,-0.760182
15.845,-0.776065
15.8329,-0.791992
15.8208,-0.807963
15.8089,-0.823977
15.8089,-0.823977
15.7968,-0.83997
15.7848,-0.855919
15.7727,-0.871824
15.7605,-0.887684
15.7482,-0.903501
15.7359,-0.919272
15.7236,-0.934999
15.7112,-0.950681
15.6987,-0.966318
15.6862,-0.981909
15.6736,-0.997455
15.6609,-1.01295
15.6482,-1.02841
15.6355,-1.04382
15.6227,-1.05918
15.6098,-1.07449
15.5969,-1.08976
15.5839,-1.10498
15.5709,-1.12015
15.5578,-1.13528
15.5447,-1.15035
15.5315,-1.16538
15.5182,-1.18037
15.5049,-1.1953
15.4916,-1.21018
15.4782,-1.22502
15.4647,-1.23981
15.4512,-1.25455
15.4376,-1.26924
15.424,-1.28388
15.4103,-1.29847
15.3966,-1.31301
15.3828,-1.3275
15.3689,-1.34194
15.355,-1.35633
15.3411,-1.37066
15.3271,-1.38495
15.3131,-1.39919
15.299,-1.41338
15.2848,-1.42751
15.2706,-1.44159
15.2564,-1.45563
15.2421,-1.4696
15.2277,-1.48353
15.2133,-1.49741
15.1988,-1.51123
15.1843,-1.525
15.1698,-1.53872
15.1552,-1.55238
15.1405,-1.56599
15.1258,-1.57955
15.1111,-1.59305
15.0963,-1.6065
15.0814,-1.6199
15.0665,-1.63324
15.0516,-1.64653
15.0366,-1.65976
15.0215,-1.67294
15.0064,-1.68607
14.9913,-1.69914
14.9761,-1.71215
14.9609,-1.72511
14.9456,-1.73801
14.9303,-1.75086
14.9149,-1.76365
14.8995,-1.77639
14.884,-1.78907
14.8685,-1.80169
14.8529,-1.81426
14.8373,-1.82677
14.8217,-1.83922
14.806,-1.85162
14.7903,-1.86395
14.7745,-1.87624
14.7586,-1.88846
14.7428,-1.90063
14.7268,-1.91274
14.7109,-1.92479
14.6949,-1.93678
14.6788,-1.94871
14.6627,-1.96059
14.6466,-1.97241
14.6304,-1.98417
14.6142,-1.99587
14.5979,-2.00751
14.5816,-2.01909
14.5653,-2.03061
14.5489,-2.04207
14.5325,-2.05348
14.516,-2.06482
14.4995,-2.0761
14.4829,-2.08733
14.4663,-2.09849
14.4497,-2.10959
14.433,-2.12063
14.4163,-2.13161
14.3996,-2.14254
14.3828,-2.15339
14.3659,-2.16419
14.349,-2.17493
14.3321,-2.1856
14.3152,-2.19622
14.2982,-2.20677
14.2812,-2.21726
14.2641,-2.22769
14.247,-2.23806
14.2299,-2.24836
14.2127,-2.2586
14.1955,-2.26878
14.1782,-2.2789
14.1609,-2.28895
14.1436,-2.29894
14.1262,-2.30887
14.1088,-2.31873
14.0914,-2.32853
14.0739,-2.33827
14.0564,-2.34794
14.0389,-2.35755
14.0213,-2.3671
14.0037,-2.37658
13.9861,-2.386
13.9684,-2.39535
13.9507,-2.40464
13.9329,-2.41387
13.9151,-2.42303
13.8973,-2.43213
13.8795,-2.44116
13.8616,-2.45012
13.8437,-2.45902
13.8258,-2.46786
13.8078,-2.47663
13.7898,-2.48534
13.7717,-2.49398
13.7537,-2.50255
13.7356,-2.51106
13.7174,-2.5195
13.6993,-2.52788
13.6811,-2.53619
13.6629,-2.54443
13.6446,-2.55261
13.6263,-2.56072
13.608,-2.56876
13.5897,-2.57674
13.5713,-2.58465
13.5529,-2.5925
13.5345,-2.60028
13.516,-2.60799
13.4976,-2.61563
13.479,-2.62321
13.4605,-2.63072
13.4419,-2.63816
13.4234,-2.64553
13.4047,-2.65284
13.3861,-2.66008
13.3674,-2.66725
13.3487,-2.67435
13.33,-2.68138
13.3113,-2.68835
13.2925,-2.69525
13.2737,-2.70208
13.2549,-2.70884
13.236,-2.71553
13.2171,-2.72216
13.1982,-2.72871
13.1793,-2.7352
13.1604,-2.74162
13.1414,-2.74797
13.1224,-2.75425
13.1034,-2.76046
13.0844,-2.7666
13.0653,-2.77267
13.0463,-2.77868
13.0272,-2.78461
13.008,-2.79047
12.9889,-2.79627
12.9697,-2.80199
12.9505,-2.80765
12.9313,-2.81324
12.9121,-2.81875
12.8929,-2.8242
12.8736,-2.82957
12.8543,-2.83488
12.835,-2.84012
12.8157,-2.84528
12.7964,-2.85038
12.777,-2.8554
12.7576,-2.86035
12.7382,-2.86524
12.7188,-2.87005
12.6994,-2.87479
12.6799,-2.87947
12.6605,-2.88407
12.641,-2.8886
12.6215,-2.89306
12.602,-2.89745
12.5825,-2.90176
12.5629,-2.90601
12.5434,-2.91019
12.5238,-2.91429
12.5042,-2.91832
12.4846,-2.92229
12.465,-2.92618
12.4453,-2.93
12.4257,-2.93374
12.406,-2.93742
12.3864,-2.94103
12.3667,-2.94456
12.347,-2.94802
